id	text	label
455753969240129536	RT TUSERUSER : The TUSERUSER schreibt schon über unsere #DRONE -Doku , die geheime CIA-Staffel enthült TURLURL Premiere morgeTUSERUSER	neutral
468499600253648896	RT TUSERUSER : Danke für diesen wunderschönen Saison Abschluss . Ich liebe Dich mein TUSERUSER :-) #Double #MiaSanMia TURLURL	positive
419512516122001410	Mein Mann fragte grade " Alles ok ? Du starrst seit gut 3 stunden das Bild an " Ich so " Ich erstelle Schnitte für Kiddy Girl " xD	positive
456176831587442691	TUSERUSER irgendwo in aachen .. keine ahnung wo sie wohnt	neutral
456210679607730180	RT TUSERUSER : Zur Halbzeit noch einmal die ( bisher ) schönste Nachricht des Tages ! #g ündogan2016 TURLURL TURLURL	positive
455207643247017984	RT TUSERUSER : Politikerin Özoguz : " Im jetzigen Zustand passt die Türkei nicht zur EU " TURLURL	neutral
418653887558451201	B42 Neuwied wird grad an der Ecke Dierdorfer Straße aufgebaut	neutral
472096501142138880	TUSERUSER Und selbst die ist wahrscheinlich noch intelligenter als du #genatzt #gegeben #abgefuckt #PillsNPotions	neutral
421998362653499394	Ich habe ein neues Foto auf Facebook gepostet TURLURL	neutral
473748905939980288	Gut auf dem #bibtag14 in Bremen angekommen . Mit dabei : TUSERUSER	neutral
458477067596992512	RT TUSERUSER : Tausche alte Socke gegen Ticket #FCBRMA Bitte Bitte Bitte ! //TUSERUSER	neutral
470993550189264899	RT TUSERUSER : diz AG : Wenn die Bilanz durch Pensionszusagen zum unternehmerischen Risiko wird TURLURL	neutral
453994145133375492	Ich habe ein neues Foto auf Facebook gepostet TURLURL	neutral
456075241362845696	“ TUSERUSER : TUSERUSER Hi , bitte sende deine Anfrage an kundenservice@eventim.de Viele Grüße ! ” TUSERUSER ich frage öfter danach 🙈✌️	neutral
417860966957993984	Samsung Galaxy Note II SGH-I317 - 16GB - Titanium gray ( Unlocked ) Smartphone TURLURL	neutral
421613426201591809	Die Antwort liegt auf der Hand : Man verkauft Gläser und Papiertaschen , ALSO VERKAUFT SELBST DIE VERPACKUNGEN TURLURL	neutral
459617905710497792	Ich sammelte 43465 $ ein ! Kannst du das besser ? TURLURL #Gameinsight #Android #Androidgames	neutral
507863596282675200	RT TUSERUSER : Heike Rupnow ( 31 ) vermisst . Wer hat sie in Worms , Mainz , Bad Kreuznach o Bockenau gesehen ? TURLURL http :/ /TURLURL	neutral
474571929043865601	RT TUSERUSER : Wir wollen immer " besonders " sein , doch wir haben Angst davor dafür " anders " zu sein .	neutral
471374095226249217	TUSERUSER hast Du denn eine andere Alternative zu Tweetdeck gefunden ? Bei mir klappt es einfach nicht mehr und der Browser ist , naja ..	neutral
454536988734287872	RT TUSERUSER : Der Moment , wenn die Zeit rennt , Du sie aber anhalten möchtest .	neutral
468785794413780992	RT TUSERUSER : Danke , meine lieben Eltern , dass Ihr mir das nicht angetan habt . TURLURL	neutral
512715843998715904	Kunst aus der Atelieretage AR_29 @ Rathaus-Galerie Reinickendorf TURLURL	neutral
470899673281359872	RT TUSERUSER : Der Schwager eines Managers soll die Inspektion im Unglücksbergwerk von #Soma geleitet haben TURLURL #T ür …	neutral
469542128075702273	TUSERUSER Was Lieder teilweise bewirken können ist schon toll	neutral
459467959313108992	Ich steh morgen um 8 Uhr auf , geh laufen und dann arbeiten . aka i ' ll kill myself !	neutral
457910207419777026	Orrr , ich hätte vielleicht einfach mal meine Klappe halten sollen -.-	negative
459671341109891072	Das Zeug installiert seit fast 12 Stunden . ARGH . TURLURL	negative
507741122626859008	RT TUSERUSER : Bild : Zukunft offen - Neues Angebot für Prödl & amp ; Junuzovic TURLURL #werder #svw	neutral
466165422312939520	RT TUSERUSER : TUSERUSER vielen Dank für die Publikation des Videos über #TakeOffJustLogo TURLURL	positive
463314048025518081	Nein zur neuen Vergötterung des Geldes TURLURL	neutral
458280904201609216	Ich habe jetzt Vogelscheuche ! Und was ist mit dir ? TURLURL #android , #androidgames , #gameinsight	neutral
465224343757533185	RT TUSERUSER : In diesem Kleid werde ich heiraten .. #ESC	positive
456886184854048768	Spareribs All-you-can-eat mit Beilagen für Zwei , Vier oder Sechs im Buffalo Steakhaus in Prenzl ' berg ab 16 , 90 € ( 16 , 90 € statt 34 €) h ...	neutral
419853882119172096	Jetzt hab ich , der scheiss Kopfschmerzen wegen , den ganzen Tag verpennt : c	negative
458700447831048192	ich hab mich erneut in die white stripes verliebt	neutral
419925290157355008	TUSERUSER DIE GANG ist das beste was Vilseck zu bieten hat !	positive
449673743565336576	ich glaub ab morgen hör ich wieder auf zu essen ich will wieder auf meine 56 und weniger maaan	neutral
454281615255293952	Pressekonferenz zum Doppelmord in #Albstadt : " Wir haben den richtigen Mann verhaftet " TURLURL #ebingen #mord #polizei	neutral
467003244552921088	Sende morgen eine Snailmail per verschlüsselter Brieftaube .	neutral
473757667845238784	Ich habe im Spiel The Tribez für #Android die Mission Erfülle 1 ... abgeschlossen . TURLURL #androidgames , #gameinsight	neutral
471045973406273537	RT TUSERUSER : Krise des Champions : Der tiefe Fall des Weltmeisters Sebastian Vettel TURLURL	neutral
468390516661698560	RT TUSERUSER : #N öbdenitz in #Th üringen : Tausendjähriger #Eiche droht Ende durch #Kettens äge TURLURL	neutral
460029520666697728	RT TUSERUSER : Glückliches Händchen : Schottische Seniorin erzockt Vermögen mit Aktien TURLURL	neutral
419084997510041600	RT TUSERUSER : Bei Facebook kursiert ein Video vom Schumacher-Unfall . Nicht öffnen , ist ein Trojaner ( RT TUSERUSER via TUSERUSER )	neutral
470163828798668800	TUSERUSER #askpxl freust du dich auf hasen in 1 . 8	neutral
512211642483245057	TUSERUSER wir haben wlan in der Stadt , weil wir da jez ein city outlet haben haha .	neutral
419222500934172672	RT TUSERUSER : Ex-Bayern-Star Lell in Spanien festgenommen . Laut spanischen Medienberichten wegen Körperverletzung . TURLURL	neutral
469142155055726593	Du suchst Abenteuer mit #Frauen aus deiner direkten Umgebung ? Dann melde dich einfach kostenlos an ! TURLURL	neutral
456525432775790592	Was macht du , wenn du nachts nicht schlafen kannst ? — Die frage ist schlafe ich nachts überhaupt ?!!! TURLURL	neutral
457231598375538688	RT TUSERUSER : Du bist irgendwas zwischen alles und nichts .	neutral
511599609668698113	TUSERUSER du arme das wird schon	neutral
420118957928873984	Das ändert sich 2014 , Teil 4 - Sepa und Insolvenz | wochenkurier TURLURL via TUSERUSER	neutral
456845449769385984	Das Leben organisieren : Mach dein Ding TURLURL	neutral
467015592609058816	So Menschen die so tun als wenn sie der beste Mensch der Welt sind obwohl sie das Gegenteil sind , gehören nicht auf diese Welt .	neutral
453175500882448385	#wts : Damenpullover Sexy Damen Rollkragen Pulli mit gürtel LILA Damenpulli PULLOVER zu verkaufen , jetzt ab zu eBay - TURLURL	neutral
495516186080448513	Ich habe im Spiel The Tribez für #iPad die Mission `Besorge ein Haus u ... ` vollendet . TURLURL #ipadgames , #gameinsight	neutral
474277719585615872	RT TUSERUSER : Ich habe ein TUSERUSER-Video von TUSERUSER positiv bewertet : TURLURL Synergy Matteo ! | One Of My Best !	neutral
458282061816950785	Clevere Ergänzung im #Chrome Browser für #Android : Mit dem Dienst teilen , der am meisten genutzt wird . TURLURL	neutral
422202637829013504	RT TUSERUSER : #ranNFL : Für alle , die neben dem Live-Bild noch was zum Wachhalten brauchen : FUNNY DUBBING - BURNING FINGER : http :/ /t . co/TdjTTURLURL	neutral
469565834290290688	Bitte besuchen Sie auch unsere Webseite und informieren Sie sich .	neutral
